Candidate #,Frequency (cm-1),Name,Formula,mode number,Symmetry,IR Intensity,Raman Activity,Dipole Moment,Quadrupole moment
2107,1385,"Ethane, 1,1-difluoro-",CH3CHF2,6,A',8.2,0.8,2.229,-3.114
2112,1385,Thiourea,NH2CSNH2,4,A,374.3,,6.13,1.107
2125,1387,"Urea, methyl-",C2H6N2O,13,A,213.5,,4.26,-2.583
2139,1388,Nitryl chloride,ClNO2,1,A1,450.4,,1.642,1.106
2159,1390,Sulfuryl chloride,SO2Cl2,8,B2,288.7,,2.154,-0.724
2164,1391,"Ethene, 1,1-dichloro-",CH2CCl2,3,A1,0.2,,1.816,4.468
2210,1394,Acetyl Chloride,CH3COCl,5,A',17.8,,3.038,1.94
2213,1394,Urea,NH2CONH2,13,B,244.2,,3.846,-3.068
2226,1395,3-butyn-2-one,CH3COCCH,7,A',27.1,,3.251,-1.162
2295,1399,silaethylene,CH2SiH2,3,A1,5.9,,0.697,1.395
2297,1399,nitrosomethane,CH3NO,5,A',5.9,,4.101,-2.138
2341,1401,Chlorine nitrate,ClONO2,2,A',379.6,,2.146,2.602
2343,1402,Bromine nitrate,BrONO2,2,A',426,,1.484,1.577
2368,1402,Methyl nitrate,CH3NO3,6,A',222.4,,3.834,2.501
2444,1406,Acetonitrile,CH3CN,3,A1,0.6,8.1,1.843,0.821
2475,1407,propyne,CH3CCH,4,A1,1.3,,0.638,5.807
2480,1407,Fluorine nitrate,FNO3,2,A',291,,0.865,3.666
2517,1408,Ketene,CH2CO,3,A1,15,2.7,1.632,-1.617
2595,1410,allene,CH2CCH2,7,B2,0,0.2,0.638,5.807
2641,1412,"1,1,1-tribromoethane",CH3CBr3,2,A1,2.3,,1.754,3.111
2644,1412,"Methane, nitro-",CH3NO2,5,A',0.1,1.3,4.017,-5.098
2663,1413,"Ethane, 1,1,1-trichloro-",CH3CCl3,2,A1,3.8,,2.073,3.52
2699,1415,"1,1-Dichloro-1-fluoroethane",CH3CFCl2,4,A',11.1,,2.214,-1.341
2735,1417,peroxy nitric acid,HOONO2,4,A,267.7,,2.654,3.818
2782,1420,Sulfuric acid,H2SO4,10,B,410.5,,3.465,-0.741
2806,1423,"Methane, trifluoro-",CHF3,4,E,113.8,3.1,1.698,3.723
2858,1428,Phosphorus mononitride,PN,1,Σ,0.2,34.7,2.921,-2.917
2931,1435,Hypofluorous acid,HOF,2,A',58.4,3.7,2.155,-1.594
2942,1436,Guanidine,CH5N3,9,A,146.7,,2.879,-4.552
2944,1436,Nitrogen trioxide,NO3,1,A1,227.3,,1.241,-1.86
2970,1439,Water-d1,HDO,3,A',90.5,,2.198,-2.153
3027,1444,methyl lithium,CH3Li,5,E,4.9,,5.72,10.658
3028,1444,methyl isocyanide,CH3NC,3,A1,13.9,,1.843,0.821
3105,1449,Dinitrogen trioxide,N2O3,3,A',131.1,,1.969,5.445
3117,1450,Phosphaethene,CH2PH,4,A',0.4,,1.289,-1.972
3121,1450,methyl hypochlorite,CH3OCl,4,A',15.2,,2.027,-2.024
3159,1453,Thiirane,C2H4S,13,B2,0,,1.263,-5.468
4347,1483,Scandium monohydride,ScH,1,Σ,341,,1.317,-5.584
4559,1490,Thioformaldehyde,H2CS,2,A1,9.2,,2.232,3.16
4667,1497,Nitrogen trifluoride oxide,F3NO,1,A1,682.5,,1.318,-2.687
4704,1500,methyleneaminomethylene,H2CNCH,4,A',0.2,,1.843,0.821
4729,1503,cyclopropene,C3H4,4,A1,6.2,15.6,0.638,5.807
4862,1532,methyleneazane,HCNH,3,A',10.9,,2.408,-1.159
4903,1562,lithium amide,LiNH2,2,A1,31,12.7,4.616,10.851
4904,1565,beryllium oxide,BeO,1,Σ,107.8,,6.782,6.762
4928,1586,"Silane, amino",SiH3NH2,4,A',61.1,4.1,1.348,1.388
4929,1588,boron nitride,BN,1,Σ,26.8,,2.624,-0.921
4962,1603,Copper monohydride,CuH,1,Σ,420.3,,4.329,-2.246
4993,1608,chloramine,NH2Cl,2,A',28.6,8,2.299,0.92
5023,1616,water oxide,H2OO,2,A',118.5,4.3,4.052,1.766
5081,1628,Diazocarbene,CNN,1,Σ,0.7,141.4,0.801,-5.263
5100,1632,Ethynamine,HCCNH2,4,A',36.7,,1.843,0.821
5202,1655,Ammonium chloride,NH4Cl,6,E,28.9,10.5,4.7,5.393
5216,1658,Water Ammonia Dimer,H2ONH3,12,"A""",25.1,,3.993,-1.57
5231,1663,Ammonia,NH3,4,E,21.3,10.6,1.92,-2.815
5249,1669,Nitrogen oxide sulfide,SNO,1,A',489,312.2,1.011,1.721
5255,1671,3H-Diazirin-3-ylidene,CN2,1,A1,19.5,,0.801,-5.263
5432,1755,aluminum dihydride,AlH2,1,A1,117,,0.674,-1.92
5480,1791,Silicon dicarbide,SiC2,1,A1,45.4,37.2,2.454,-1.793
5490,1798,Magnesium Carbonate,MgCO3,1,A1,699.3,,13.025,16.489
5501,1803,Bromine nitrite,BrONO,1,A',304,,1.016,0.964
5502,1803,Oxirene,C2H2O,2,A1,0.7,71.7,1.632,-1.617
5549,1823,Nitrosyl nitrite,ONONO,7,B2,462.4,,1.969,5.445
5552,1824,chlorine nitrite,ClONO,1,A',278.3,,1.642,1.106
5605,1863,Boron dioxide,BO2,1,Σ,21.8,,1.826,-6.565
5609,1869,Phosgene,CCl2O,1,A1,452.1,,1.359,-3.968
5613,1872,Mercapto-d,DS,1,Σ,8.2,,1.08,2.146
5614,1875,Carbonic dibromide,COBr2,1,A1,446.7,,1.38,-5.031
5622,1882,Hydrogen sulfide-d2,D2S,1,A1,4.1,,1.414,0.662
5633,1894,Nitrosyl chloride,ClNO,1,A',991.4,,1.836,1
5638,1905,Nitrosyl fluoride,FNO,1,A',207.9,12.7,0.744,2.089
5639,1907,Nitrosyl bromide,BrNO,1,A',1501.1,,2.171,-0.515
5645,1922,Carbonic chloride fluoride,COFCl,1,A',530.2,,1.393,2.97
5646,1925,Carbonyl fluoride,FCO,1,A',355.4,,1.274,2.331
5655,1946,Tricarbon monoxide,C3O,2,Σ,184.8,,1.844,-8.761
5656,1949,carbonyl monochloride,ClCO,1,A',524.5,,0.729,1.552
5657,1950,fluorosilylene,HSiF,1,A',527,206.9,1.113,5.387
5667,1984,silicon dihydride,SiH2,3,B2,437.3,,0.532,-4.676
5673,1995,monofluorogermane,GeH3F,1,A1,25,221.3,2.141,-2.791
5675,1996,Dicarbon monoxide,CCO,1,Σ,368,,1.419,-7.513
5681,2008,monobromosilylene,HSiBr,1,A',372.3,191.2,1.537,3.389
5695,2054,Hydrochloric acid-d,DCl,1,Σ,12.5,,1.502,3.599
5699,2073,Aluminum isocyanide,AlNC,1,Σ,564.5,79.4,3.278,-12.539
5702,2076,hydrogen isocyanide,HNC,2,Σ,81.5,,3.209,2.033
5708,2081,lithium cyanide,LiCN,1,A',107.7,,7.586,12.599
5713,2094,Sodium Cyanide,NaCN,1,A',66.3,,9.096,3.554
5715,2100,methyl chloride d3,CD3Cl,1,A1,25.1,,2.243,1.749
5728,2127,silanol,SiH3OH,9,"A""",305.1,59.1,1.527,-1.693
5754,2147,Cyanoacetylene,HCCCN,3,Σ,3.4,,4.091,1.906
5757,2150,bromoacetylene,HCCBr,2,Σ,11.4,,0.588,9.218
5778,2169,Chloroacetylene,HCCCl,2,Σ,22,,0.842,7.488
5784,2176,monofluorosilane,SiH3F,4,E,257.4,54.1,1.474,-1.142
5788,2182,bromosilane,SiH3Br,1,A1,95.4,,1.767,2.972
5789,2183,(trichloromethyl)silane,SiH3CCl3,1,A1,71,,2.469,5.547
5799,2192,Hydrogen cyanide,HCN,2,Σ,11.8,39.5,3.209,2.033
5811,2219,dichlorosilane,SiH2Cl2,1,A1,114.3,,1.947,3.372
5817,2229,Borane carbonyl,BH3CO,2,A1,347.8,68.9,2.459,1.305
5819,2229,difluorosilane,SiH2F2,6,B1,248.8,35.9,1.708,1.625
5827,2253,Aluminum monocyanide,AlCN,1,Σ,53.3,65.6,3.278,-12.539
5830,2258,Boron monohydride,BH,1,Σ,391.1,,1.493,-4.062
5831,2259,Trichlorosilane,SiHCl3,1,A1,111.5,,1.363,4.008
5836,2296,Selenium monohydride,HSe,1,Σ,24.4,172.1,0.728,2.606
5841,2300,trifluorosilane,SiHF3,1,A1,116.1,67.7,1.552,3.671
5844,2304,hydrogen diselenide,H2Se2,1,A,18,194.5,1.066,-0.83
5851,2311,borane phosphine,BH3PH3,2,A1,85.1,,4.539,-4.473
5854,2321,Hydrogen selenide,H2Se,1,A1,13.5,,0.958,1.218
5857,2325,Cyanogen bromide,BrCN,1,Σ,31.9,62.7,3.194,-5.753
5863,2336,Phosphinous acid,H2POH,7,"A""",194.7,,4.176,-3.822
5866,2338,Nitrogen sulfide,NNS,1,Σ,297,,1.322,0.953
5868,2339,chlorocyanogen,ClCN,1,Σ,49.4,,2.764,-4.18
5872,2340,Phosphine,PH3,3,E,146.9,159.3,0.881,-2.792
5927,2423,Cyanogen fluoride,FCN,1,Σ,156.6,,1.803,-3.134
5950,2517,hydrogen bromide,HBr,1,Σ,8.7,,1.107,4.474
5967,2583,"Borane, dichloro-",BHCl2,1,A1,104.9,,0.939,0.988
5977,2612,trisulfane,HSSSH,1,A,1.5,,0.749,-3.224
6003,2640,Hexafluorophosphate neutral,PF6,12,B2,119102.1,,0.756,0.894
6007,2686,hydrogen boron sulfide,HBS,1,Σ,50,61.5,2.193,3.435
6013,2750,Methylidyne,CH,1,Σ,172.7,130.5,1.582,-1.269
6239,2865,Hydrogen chloride,HCl,1,Σ,24.3,126.3,1.502,3.599
6905,2890,bromomethylene,CHBr,1,A',50.8,,1.555,1.335
10270,3624,Selenic acid,H2SeO4,9,B,374,,2.845,-2.188
10314,3676,Hypobromous acid,HOBr,1,A',120.6,,1.704,-2.724
5,1201,2(5H)-Pyridinone,C5H5NO,22,"A""",0,,1.075,-5.168
145,1214,1-Butanethiol,C4H9SH,31,"A""",0.2,,1.922,-0.786
177,1217,"1,3-Butadiene, 2-chloro-",CH2CClCHCH2,11,A',52.5,13.6,1.794,-6.625
188,1218,benzaldehyde,C6H5CHO,14,A',15.6,1.8,3.477,-3.505
271,1226,pentafluoroethane,CF3CHF2,4,A',218.7,,1.645,-2.323
274,1227,Ethylene carbonate,C2H4CO3,7,A,244.6,,5.233,-1.643
345,1233,Hydroxyimidogen,NOH,2,A',44.8,,2.081,-0.819
364,1235,monoethanolamine,HOCH2CH2NH2,15,A,37.3,,2.693,0.724
788,1269,"Ethene, 1,2-dibromo-, (E)-",CHBrCHBr,3,Ag,0,,2.071,7.839
817,1272,"Ethane, 1,1,1-trifluoro-",CH3CF3,9,E,281.4,,1.719,5.995
829,1273,Lithium Hydride,LiH,1,Σ,192.5,,5.981,-1.471
831,1274,Furan,C4H4O,18,B2,0.2,0.6,3.251,-1.162
902,1280,thioformamide,CHSNH2,6,A',250.4,6.2,5.185,-5.166
1021,1289,Acetaldoxime,CH3CHNOH,9,A',68.3,,4.085,0.852
1087,1294,Formic acid,HCOOH,5,A',21.4,0.7,5.463,-0.979
1496,1325,Methane selenol,CH3SeH,5,A',20.9,,1.608,-3.894
1654,1341,"Ethene, 1,1-difluoro-",CH2CF2,10,B2,253.3,,1.249,1.645
2879,1430,Ethenimine,H2CCNH,4,A',0.6,,1.843,0.821
2921,1434,Zinc monohydride,ZnH,1,Σ,254.9,,0.858,-6.67
3013,1443,methylisocyante,CH3NCO,6,A',59.5,18.4,3.242,1.204
3126,1450,Nitrogen dioxide,NO2,1,A1,4.2,46.2,0.681,1.358
3131,1451,"Sulfurous acid, dimethyl ester",C2H6O3S,12,A,1.5,,2.08,-4.784
3323,1460,Selenoformaldehyde,H2CSe,2,A1,7.1,3.5,1.978,5.128
4497,1488,Sodium methoxide,NaOCH3,6,E,5.8,,7.56,12.953
4902,1561,Nitrosyl hydride,HNO,3,A',39.1,,2.081,-0.819
5421,1741,Calcium Carbonate,CaCO3,1,A1,814.2,,17.269,11.876
5679,2006,Chlorosilylene,HSiCl,1,A',401.3,205,1.818,4.535
9808,3081,bromoform,CHBr3,1,A1,2.5,,1.057,1.419
22,1202,cyanomethanol,HOCH2CN,8,A,28.9,3,3.242,1.204
48,1205,"Cyclobutane, methylene-",C5H8,11,A',0.2,,0.513,1.316
69,1206,1-amino vinyl alchohol,CH2C(OH)NH2,10,A,126,12.1,4.085,-6.101
89,1208,"Propane, 1,2-dichloro-",CH2ClCHClCH3,14,A,25.5,,0.638,4.745
91,1208,oxo acetic acid,CHOCOOH,7,A',26.8,,3.91,5.02
92,1208,N-methylformamide,HCONHCH3,12,A,109.1,,4.085,-6.101
93,1209,Furazan,C2H2N2O,13,B2,2.6,1,3.808,3.765
125,1212,Pyridine,C5H5N,6,A1,5.2,,2.314,-2.72
157,1216,borohydride,BH4,3,A1,53.6,,1.152,1.192
195,1219,"2-Oxetanone, 4-methylene-",C4H4O2,10,A,4.3,,4.011,2.25
247,1223,"1,3-difluoropropane",CH2FCH2CH2F,8,A,1.5,8.3,2.205,1.052
255,1224,Oxepane,C6H12O,29,A,3.9,1.9,1.435,-0.559
402,1238,phenol,C6H5OH,13,A',61.8,,4.709,-8.654
453,1242,Norbornadiene,C7H8,24,B1,0,,4.709,-2.55
458,1242,(Z)-1-Chloro-2-fluoroethene,CHFCHClz,5,A',39,,2.617,-2.7
610,1255,Ethaninidic acid,CH3C(OH)=NH,9,A',108.1,,4.085,-0.962
789,1270,Nitrosoethylene,C2H3NO,7,A',0.9,11.5,3.242,-0.709
1418,1316,Acetamide,CH3CONH2,11,A,149.2,,4.085,-1.426
2401,1404,"Propane, 2,2-dichloro-",CH3CCl2CH3,24,B2,7.1,3.1,2.63,1.537
5690,2027,Iron pentacarbonyl,Fe(CO)5,14,E,5260.1,,2.817,0.628
5719,2109,Zinc isocyanide,ZnNC,1,Σ,363.6,,4.711,-12.744
